group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
M_academic-educator_Long,Long_Adventure,1.0,1.0,8.994342876207409e-05,-1,TRAD_BY,10.0
M_academic-educator,M_Long_Adventure,1.0,1.0,9.979425561881664e-05,-1,TRAD_BY,10.0
Long_Adventure,M_other,1.0,1.0,0.0001084215464237,-1,TRAD_BY,10.0
Long_Adventure,other,1.0,1.0,0.0001084215464237,-1,TRAD_BY,10.0
executive-managerial_Long,M_Long_Action,1.0,1.0,0.0001111202050925,-1,TRAD_BY,10.0
executive-managerial,M_Long_Action,1.0,1.0,0.0001111202050925,-1,TRAD_BY,10.0
executive-managerial_Long,M_Action,1.0,1.0,0.0001111202050925,-1,TRAD_BY,10.0
M_Long_Horror,18-24_other,1.0,1.0,0.0001135383779625,-1,TRAD_BY,10.0
M_Horror,18-24_other,1.0,1.0,0.0001135383779625,-1,TRAD_BY,10.0
35-44_Long,other,1.0,1.0,0.0001219933237005,-1,TRAD_BY,10.0
35-44,other,1.0,1.0,0.0001219933237005,-1,TRAD_BY,10.0
Long_War,M_18-24_college-grad student,1.0,1.0,0.0001231137524201,-1,TRAD_BY,10.0
Long_War,M_18-24_college-grad student_Long,1.0,1.0,0.0001231137524201,-1,TRAD_BY,10.0
War,18-24_college-grad student,1.0,1.0,0.0001231137524201,-1,TRAD_BY,10.0
M_Long_Horror,18-24_other_Long,1.0,1.0,0.0001238077044846,-1,TRAD_BY,10.0
War,M_18-24_college-grad student,1.0,1.0,0.0001241177873233,-1,TRAD_BY,10.0
War,18-24_college-grad student_Long,1.0,1.0,0.0001241177873233,-1,TRAD_BY,10.0
Long_War,M_18-24_college-grad student_Long,1.0,1.0,0.0001241177873233,-1,TRAD_BY,10.0
Long_War,M_18-24_college-grad student,1.0,1.0,0.0001241177873233,-1,TRAD_BY,10.0
War,18-24_college-grad student_Long,1.0,1.0,0.0001241177873233,-1,TRAD_BY,10.0
Long_War,18-24_college-grad student,1.0,1.0,0.0001241177873233,-1,TRAD_BY,10.0
War,M_18-24_college-grad student,1.0,1.0,0.0001241177873233,-1,TRAD_BY,10.0
War,M_18-24_college-grad student_Long,1.0,1.0,0.0001241177873233,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Long_Action,1.0,1.0,0.0001242142566525,-1,TRAD_BY,10.0
