num_max_hypo,threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
20.0,-1,Coverage_Side_1,Bonferroni,0,0,0,0,35.0,0.0,8.182336463602446e-06,3.1172920456392224e-05,0.9927536231884058,0.8113207547169812,0.9020371889526935,113.26780796051025
20.0,-1,Coverage_Side_2,Benjamini,0,0,0,0,15.0,0.0,0.002695670279969753,0.0036449169631860004,0.6473429951690821,1.0,0.8236714975845411,112.88514232635498
20.0,-1,Coverage_Side_2,Bonferroni,0,0,0,0,24.0,0.0,4.935892641944051e-06,1.2223640233519098e-05,0.4057971014492754,0.9748427672955975,0.6903199343724364,113.08935523033142
20.0,-1,Coverage_alpha_investing,gamma_20,0,0,0,0,35.0,1.887379141862766e-15,0.00034521209562987654,0.001510736567609297,0.9951690821256038,1.0,0.9975845410628019,5.007197141647339
20.0,-1,Coverage_alpha_investing,gamma_50,0,0,0,0,39.0,1.887379141862766e-15,7.664122953809915e-05,0.0005147545847807855,0.9951690821256038,1.0,0.9975845410628019,7.741666078567505
20.0,-1,Coverage_alpha_investing,gamma_100,0,0,0,0,44.0,1.887379141862766e-15,7.664122953809915e-05,0.00038457858495184836,0.9951690821256038,1.0,0.9975845410628019,10.44443392753601
20.0,-1,Coverage_alpha_investing,gamma_200,0,0,0,0,48.0,1.887379141862766e-15,4.147589638037186e-05,0.00018210308200051773,0.9951690821256038,0.9905660377358491,0.9928675599307264,13.263727188110352
20.0,25,Traditional,Benjamini,0,0,0,0,25.0,0.0,1.1427715253712799e-15,8.3813505808728e-15,0.2826086956521739,0.46540880503144655,0.37400875034181025,112.53844666481018
20.0,25,Traditional,Bonferroni,0,0,0,0,25.0,0.0,1.1427715253712799e-15,8.3813505808728e-15,0.2826086956521739,0.46540880503144655,0.37400875034181025,112.53053021430969
20.0,25,Coverage_Two_Sides,Benjamini,0,0,0,0,25.0,6.370123801049377e-16,0.0015078870742063488,0.006351950595678458,0.9734299516908212,0.9937106918238994,0.9835703217573604,113.12037134170532
20.0,25,Coverage_Two_Sides,Bonferroni,0,0,0,0,25.0,6.370123801049377e-16,8.492441309293497e-06,4.142014378482231e-05,0.9468599033816425,0.9339622641509434,0.9404110837662929,114.0540509223938
20.0,25,Coverage_Side_1,Benjamini,0,0,0,0,25.0,0.0,0.0012226968343445055,0.0015607509488498113,0.9782608695652174,0.5534591194968553,0.7658599945310364,112.98283910751343
20.0,25,Coverage_Side_1,Bonferroni,0,0,0,0,25.0,0.0,8.182336463602446e-06,2.4762626359966096e-05,0.966183574879227,0.7830188679245284,0.8746012214018777,113.01061296463013
20.0,25,Coverage_Side_2,Benjamini,0,0,0,0,15.0,0.0,0.002695670279969753,0.0036449169631860004,0.6473429951690821,1.0,0.8236714975845411,112.87799429893494
20.0,25,Coverage_Side_2,Bonferroni,0,0,0,0,24.0,0.0,4.935892641944051e-06,1.2223640233519098e-05,0.4057971014492754,0.9748427672955975,0.6903199343724364,113.23155093193054
20.0,25,Coverage_alpha_investing,gamma_20,0,0,0,0,25.0,1.887379141862766e-15,0.00034521209562987654,0.0013295170687300795,0.9637681159420289,0.9779874213836478,0.9708777686628384,3.712089776992798
20.0,25,Coverage_alpha_investing,gamma_50,0,0,0,0,25.0,1.887379141862766e-15,7.664122953809915e-05,0.0003451396795276507,0.961352657004831,0.9716981132075472,0.966525385106189,4.233041048049927
