grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
50-54,80,40-44_221,70,30-34_221,80,0.028982528925123693
60-64,33,30-34_Others,36,25-29_221,44,0.007203981237408996
>65,41,30-34_221,89,50-54,75,0.024631143507415878
60-64,33,35-39_115,110,35-39_221,92,0.0001928534025025718
30-34_110,29,45-49_115,81,30-34_115,80,0.0001959163348322552
30-34_115,99,<25,47,110,96,0.036506429083316166
30-34_110,29,Unknown,45,106,40,0.004025918745079016
30-34_221,79,35-39_115,110,45-49_115,51,0.03474565899113136
30-34_110,29,60-64,27,25-29_221,44,0.009809391199865158
40-44_115,118,110,102,25-29,110,0.03177834111814489
60-64,33,30-34_221,89,106,40,0.000300153161977672
40-44_221,74,110,102,110,96,0.02903592664262945
60-64_115,26,45-49_115,81,45-49_115,51,0.033714838089147645
60-64,33,Others,121,30-34_115,80,0.00019907610598440343
35-39_115,126,110,102,25-29,110,0.012536298018145473
30-34_110,29,50-54,74,35-39_221,92,0.0014566733095714806
>65,41,30-34_221,89,40-44_115,93,0.034241423892788336
50-54_115,50,35-39_115,110,<25,59,0.0014313835280759099
Others,116,110,102,25-29,110,0.023464286584537124
40-44_110,24,30-34_221,89,106,40,0.009256143888615127
25-29,132,35-39_115,110,50-54,75,0.04496014765326472
25-29_221,28,114,71,<25,59,0.04729507284588506
30-34_221,79,50-54,74,50-54,75,0.015623171177235447
60-64_115,26,Others,121,<25,59,0.0007852959075300646
60-64_115,26,25-29,120,50-54,75,0.00439609085876005
30-34_110,29,30-34_221,89,45-49_221,37,0.000100918959070907
30-34_110,29,<25,47,30-34_221,80,0.0009433604982187506
50-54_115,50,35-39_221,88,40-44_115,93,0.03584479002792732
30-34_110,29,Unknown,45,<25_115,28,0.0069233921171249985
30-34_115,99,45-49_221,53,110,96,0.012164098283355669
50-54,80,30-34_221,89,35-39_115,132,0.0008095010362696235
114,61,25-29,120,45-49_115,51,0.04675988540014082
50-54,80,40-44_Others,21,25-29,110,0.019970553219105968
50-54_115,50,Others,121,114,55,0.008069733455710175
40-44_110,24,30-34_Others,36,<25,59,0.022645901603452857
25-29,132,30-34_221,89,50-54,75,0.03995934510042473
60-64,33,35-39_221,88,106,40,0.0019234383621933922
30-34_110,29,40-44_221,70,Unknown,35,0.04719975521412377
40-44_115,118,30-34,223,45-49,138,0.0021060300809390923
30-34_110,29,25-29_221,33,25-29,110,0.0005290597375096962
30-34_110,29,25-29,120,30-34_115,80,2.0312933579534152e-05
60-64_115,26,40-44_221,70,<25,59,0.012788154619396459
60-64,33,Unknown,45,25-29,110,0.0008894549772399176
